,mgrno,mgrname,zipcode
411,7632,DOCK STR ASSET MGMT INC,
412,7633,PROFUND ADVISOR LLC,
413,7634,MASON STR ADVISORS LLC,
414,7635,MEISENBACH CAPITAL MGMT INC,
415,7637,COMMONFUND,
416,7638,WAVEL& CAPITAL MGMT LLC,
417,7639,NEW YORK COMMUN BANK ESOP,
418,7640,HALLMAN WILLIAM,
419,7641,TRIPP WILLIAM V III,
420,7642,HOKANSON ASSOCIATES INC,
421,7643,MATRIX CAPITAL MGMT LLC,
422,7644,S&ER CAPITAL ADVISORS INC,
423,7645,CULLINAN ASSOCIATES INC,
424,7646,BRINTON EATON ASSOCIATES INC,
425,7647,CENTRAL BANK & TRUST CO,
426,7648,REAL ESTATE MGMT SERV GRP LLC,
427,7649,PRESCOTT GRP CAPITAL MGMT LLC,
428,7650,KRA CAPITAL MGMT INC,
429,7652,CHARTIST INC,
430,7668,HUSSMAN ECONOMETRICS ADVISORS,
431,7673,PALLADIUM CAPITAL MGMT LP,
432,7674,ATLANTIC TRUST CO N A,
433,7675,NEW ENGL& FUNDS MGMT LP,
434,7676,CIM INVT MGMT,
435,7678,LONGACRE CORP,
436,7679,FREDERIC GREENBERG,
437,7680,SMH CAPITAL ADVISOR,
438,7681,CREDIT SUISSE ASSET MGMT LTD,
439,7682,SCOUT INVT ADVISOR INC,
440,7684,ALBERT D MASON INC,
441,7685,HOLDERNESS INVT CO,
442,7686,PALO ALTO INV,
443,7687,BANKILLINOIS TRUST CO,
444,7689,COUNTRY TRUST BANK,
445,7690,BISCAYNE ADVISORS INC,
446,7693,PHOENIX INV COUNSEL INC,
447,7694,GOODNOW GRAY & CO,
448,7700,BANKERS LIFE CO,
449,7703,BANKERS TRUST CO OF SD,
450,7707,BILL & MELINDA GATES FOUND,
451,7708,CASCADE INVT LLC,
452,7711,SCHOOTSE POORT VERMOGENSBEHEER,
453,7712,TEXAS TREASURY SAFEKEEPING CO,
454,7713,ARNHOLD&SBLEICHROEDER ADVISOR,
455,7715,SEI TRUST CO,
456,7716,ALTAMIRA MGMT LTD,
457,7720,DEARBORN PARTNERS LLC,
458,7722,DSM CAPITAL PARTNERS LLC,
459,7725,AKJ ASSET MGMT,
460,7727,MRJ CAPITAL INC,
461,7728,GARL& CAPITAL MGMT,
462,7729,OCCIDENTAL PETROLEUM CORP,
463,7730,BNP PARIBAS SECURITIES CORP,
464,7731,WEBB CAPITAL MGMT LLP,
465,7732,DAVIDSON TRUST CO,
466,7734,FOUND RESOURCE MGMT INC,
467,7735,MAYO INVT ADVISORS LLC,
468,7736,ROYAL CAPITAL MGMT LLC,
469,7737,SANBORN KILCOLLIN PARTNERS LL,
470,7738,SUTTONBROOK CAPITAL MGMT LLC,
471,7739,TIMELESS INV MGMT & RES LLC,
472,7740,ABINGDON CAPITAL MGMT,
473,7741,INTEGRAL CAPITAL MGMT VI LLC,
474,7742,LAU & ASSOCIATES LTD,
475,7743,TACONIC OFFSHORE MGMT LLC,
476,7744,BOYAR ASSET MGMT INC,
477,7745,FOTTA JEFFREY,
478,7746,INCOME RESEARCH & MGMT,
479,7747,JANA PARTNERS LLC,
480,7748,PILOT ADVISORS LP,
481,7749,NCF INV DEPT NEW CONVENANT CO,
482,7750,SHELL PENSIONS MGMT SERV LTD,
483,7751,MAGEE THOMSON INV PARTNERS LLC,
484,7752,LOGOS TRADING D/B/A SANGAMON T,
485,7758,RBC PHILLIPS HAGER&NORTH INV C,
486,7759,FRONTPOINT PARTNERS LLC,
487,7760,GIOVINE CAPITAL GROUP,
488,7761,GRACE BROTHERS MGMT LLC,
489,7762,HIGGINS BRIAN,
490,7763,HUNTER GLOBAL INV,
491,7764,SEMLER ERIC,
492,7765,MINOT CAPITAL MGMT LLC,
493,7766,FERRER FREEMAN & CO LLC,
494,7767,LINDVALL CAPITAL MGMT LLC,
495,7768,RIVERPOINT CAPITAL MGMT INC,
496,7769,SOLEN INSURANCE LIMITED,
497,7770,STEADFAST ADVISOR LLC,
498,7771,STEADFAST CAPITAL MGMT LLC,
499,7772,TIEDEMANN INVICTUS PARTNERS LL,
500,7779,ALSON CAPITAL PARTNERS,
501,7780,COGHILL CAPITAL MGMT LLC,
502,7781,COURAGE CAPITAL MGMT LLC,
503,7782,GRT CAPITAL PARTNERS LLC,
504,7783,INFERENCE GROUP LLC,
505,7784,MCDONNELL INVT MGMT LLC,
506,7785,OSS CAPITAL MGMT,
507,7786,PENNANT CAPITAL MGMT,
508,7787,PHILADELPHIA INTL ADVISORS LP,
509,7788,STADIA CAPITAL LLC,
510,7789,ZOLA CAPITAL MGMT LLC,
511,7790,RADCLIFFE CAPITAL MGMT LP,
512,7791,SOMERVILLE TRADING ENTERPRISES,
513,7792,CONCENTRATED ALPHA PARTNERS L,
514,7793,ADDISON CLARK CAPITAL LLC,
515,7796,KURT F SOMERVILLE,
516,7797,TRAFELET & CO LLC,
517,7799,SC BVI PARTNERS,
518,7800,BANKERS TR N Y CORP,
519,7802,STOCKTON REINSURANCE INVS LTD,
520,7803,KREVLIN ADVISOR LLC,
521,7804,LAURENTIAN MGMT LLC,
522,7805,BP CAPITAL MGMT L P,
523,7806,PHZ CAPITAL PARTNERS LP,
524,7807,MASON CAPITAL MGMT,
525,7808,BALYASNY ASSET MGMT LLC,
526,7809,AEGIS FINANCIAL CORP,
527,7810,JD CAPITAL MGMT LLC,
528,7811,FURSA ALTERNATIVE STRAT,
529,7812,NED DAVIS RESEARCH,
530,7813,NORTHROAD CAPITAL MGMT LLC,
531,7814,VICUNA ADVISORS LLC,
532,7815,WEXFORD CAPITAL LLC,
533,7816,GKM ADVISORS INC,
534,7822,LUCERNE CAPITAL MGMT LLC,
535,7823,WC CAPITAL MGMT LLC,
536,7824,REGENTATLANTIC CAPITAL LLC,
537,7825,NORDEA INV MGMT DENMARK,
538,7826,ENDEAVOUR CAP ADVISORS INC,
539,7827,RITCHIE CAPITAL MGMT LLC,
540,7828,SOROS GEORGE,
541,7829,ORBIMED CAPITAL LLC,
542,7830,FARLEY STEPHEN L,
543,7831,HAMILTON INVT MGMT LLC,
544,7832,WELLS ASSET MGMT INC,
545,7836,UBS GLOBAL ASSET MGMT US INC,
546,7837,ARGYLL RESEARCH LLC,
547,7838,JEFFERIES & CO INC,
548,7839,AKANTHOS CAPITAL MGMT LLC,
549,7840,NORTH SOUND CAPITAL,
550,7841,ACHARNE CAPITAL MGMT,
551,7842,ACHARNE FUND MGMT LLC,
552,7843,ACHARNE GLOBAL LLC,
553,7844,REDSKY PARTNERS LLC,
554,7845,HERMES FUND MANAGERS LIMITED,
555,7846,PERCEPTIVE ADVISOR LLC,
556,7847,AVALON ADVISORS LLC,
557,7848,T&M ASSET MGMT LLC,
558,7849,PENSIONVERZEKERINGMAATSCHAPPY,
559,7850,BANKERS TRUST/SO CAROLNA,
560,7851,TEXAS PERMANENT SCHOOL FUND,
561,7852,KOCH INDUSTRIES INC,
562,7853,OTTER CREEK MGMT INC,
563,7855,OPUS INVT ADVISOR LLC,
564,7856,VERUS INVT MGMT,
565,7857,SPF BEHEER BV,
566,7858,1ST SOURCE CORP INV ADVISOR,
567,7866,ALKEON CAPITAL MGMT,
568,7867,SHELL ASSET MGMT CO,
569,7870,NORTH CREEK PARTNERS LLC,
570,7871,GOLDMAN SACHS ASSET MGMT US,
571,7873,MYERS CAPITAL MGMT LLC,
572,7874,BLUE RIDGE CAP MANAGMENT LLC,
573,7875,BAR HARBOR BANKING & TR,
574,7876,COAST ASSET MGMT LLC,
575,7877,RGNIEDERHOFFER CAP MGMT INC,
576,7878,SILVERCREST ASSET MGMT GRP LLC,
577,7879,GOLDMAN JAY G,
578,7880,BARBARY COAST CAPITAL MANAGEME,
579,7881,MOORE MACRO FUND LP,
580,7882,FORT PITT CAPITAL GROUP INC,
581,7890,BARBERRY CORP,
582,7900,BARCLAYS BANK LIMITED,
583,7905,BARCLAYS BK PLC NY BRANCH,
584,7930,BARING AMERICA ASSET MGMT,
585,7940,BARKER LEE & CO,
586,7945,BARNETT BK/SE GEORGIA,
587,7950,BARNETT BANKS TRUST CO,
588,8000,BAMCO INC,
589,8030,BARR E S & CO,
590,8050,BARRETT ASSET MGMT LLC,
591,8070,BARNETT BANKS OF FLORIDA,
592,8100,BARROW HANLEY MEWHINNEY,
593,8140,BARTLETT & CO,
594,8150,BASS BROTHERS ENTERPRISE,
595,8160,BASE ASSETS TRUST,
596,8190,BATTERMARCH FINANCIAL MGMT,
597,8200,BAUPOST GROUP INC,
598,8202,BAXGER BROS INS,
599,8205,BAXTER FINANCIAL CORP,
600,8208,BAY HARBOUR MGMT LC,
601,8210,BAXTER FINANCIAL CORP,
602,8220,BAYBANKS INVT MGMT,
603,8225,BAYBANK HARVARD TR CO,
604,8230,BAYBANKS INC,
605,8233,BAYBANK HARVARD TRUST,
606,8235,BAYBANK VALLEY TR CO,
607,8236,BEACON INV MANGEMENT INC,
608,8237,BEACON TRUST CO,
609,8238,BEACON CAPITAL MGMT,
610,8239,BEAR STEARNS ASSET MGMT,
611,8240,BECK MACK & OLIVER,
612,8245,BEATY HAYNES & ASSOC INC,
613,8250,BECKER CAPITAL MGMT INC,
614,8251,BECKER VANETTEN INC,
615,8252,BECKTON CORP,
616,8253,BEEKMAN CAPITAL MGMT LTD,
617,8254,BEDELL INV COUNSELING LLC,
618,8255,BELIN G D &ELOT,
619,8257,BEDFORD FALLS INVS L P,
620,8258,BEDFORD OAK ADVISORS LLC,
621,8259,BEDFORD OAK ADVISOR,
622,8260,BEESE FULMER & PINCOE,
623,8265,BEL AIR INV ADVISORS LLC,
